"long" "lat" "order" "hole" "piece" "id" "group" "SA4"
-45072.50408371 65935.43565593 10593 FALSE "1" "210" "210.1" "210"
-45080.85228869 66687.23724893 10594 FALSE "1" "210" "210.1" "210"
-40040.56789309 69675.8048139 10595 FALSE "1" "210" "210.1" "210"
-41920.51313555 70334.58141459 10596 FALSE "1" "210" "210.1" "210"
-39972.45106496 71253.71363735 10597 FALSE "1" "210" "210.1" "210"
-39182.79898459 74185.20276231 10598 FALSE "1" "210" "210.1" "210"
-37752.27175368 74561.64866421 10599 FALSE "1" "210" "210.1" "210"
-36386.53871108 73704.54048025 10600 FALSE "1" "210" "210.1" "210"
-36082.07114085 74828.12031478 10601 FALSE "1" "210" "210.1" "210"
-34473.73756151 74685.95656709 10602 FALSE "1" "210" "210.1" "210"
-34078.16812372 71096.68730716 10603 FALSE "1" "210" "210.1" "210"
-35166.88981486 70630.2170329 10604 FALSE "1" "210" "210.1" "210"
-29391.73850701 69788.49301756 10605 FALSE "1" "210" "210.1" "210"
-29329.13652372 70412.44804025 10606 FALSE "1" "210" "210.1" "210"
-28602.08202887 69892.02040096 10607 FALSE "1" "210" "210.1" "210"
-26322.58589126 70761.16323801 10608 FALSE "1" "210" "210.1" "210"
-24845.39162961 69973.74147609 10609 FALSE "1" "210" "210.1" "210"
-25142.82962177 68753.62193734 10610 FALSE "1" "210" "210.1" "210"
-24043.72807718 68148.93798632 10611 FALSE "1" "210" "210.1" "210"
-24368.12465711 62776.72683516 10612 FALSE "1" "210" "210.1" "210"
-22551.70735671 62112.16843979 10613 FALSE "1" "210" "210.1" "210"
-21655.7057555 62627.80062914 10614 FALSE "1" "210" "210.1" "210"
-22227.94365321 58537.40450325 10615 FALSE "1" "210" "210.1" "210"
-19041.01845092 57175.74887715 10616 FALSE "1" "210" "210.1" "210"
-18416.4012339 56008.46883364 10617 FALSE "1" "210" "210.1" "210"
-16144.60007316 55702.19784766 10618 FALSE "1" "210" "210.1" "210"
-16381.37359742 54100.15591469 10619 FALSE "1" "210" "210.1" "210"
-15836.54210896 54005.57232424 10620 FALSE "1" "210" "210.1" "210"
-17839.55379329 49091.08728645 10621 FALSE "1" "210" "210.1" "210"
-17452.55443797 47346.62605798 10622 FALSE "1" "210" "210.1" "210"
-18135.24811072 47216.82815729 10623 FALSE "1" "210" "210.1" "210"
-17573.08128194 45906.43848121 10624 FALSE "1" "210" "210.1" "210"
-17876.83884387 43382.04525845 10625 FALSE "1" "210" "210.1" "210"
-18422.7492323 43166.5721318 10626 FALSE "1" "210" "210.1" "210"
-17239.77408244 42346.82188721 10627 FALSE "1" "210" "210.1" "210"
-19146.9498585 38441.97223147 10628 FALSE "1" "210" "210.1" "210"
-10856.19439773 37315.83131013 10629 FALSE "1" "210" "210.1" "210"
-10933.66330377 35499.63896577 10630 FALSE "1" "210" "210.1" "210"
-12978.5500107 33569.81346143 10631 FALSE "1" "210" "210.1" "210"
-11880.46673917 32152.50516647 10632 FALSE "1" "210" "210.1" "210"
-12021.72602534 31033.21844749 10633 FALSE "1" "210" "210.1" "210"
-13037.51604515 26980.42998059 10634 FALSE "1" "210" "210.1" "210"
-13557.32744243 26912.57020087 10635 FALSE "1" "210" "210.1" "210"
-12485.54525118 23918.14168002 10636 FALSE "1" "210" "210.1" "210"
-10918.31565218 22181.93365071 10637 FALSE "1" "210" "210.1" "210"
