SA1_CODE_2021,Popn
10303107309,183
10303107310,316
10303107311,208
10303107312,216
10303107313,171
10303107314,363
10303107401,254
10303107402,365
10303107403,498
10303107404,407
10303107405,433
10303107406,181
10303107407,328
10303107408,293
10303107409,675
10303107410,219
10303107411,408
10303107412,511
10303107413,534
10303107414,527
10303107415,552
10303107416,443
10303107417,331
10303107418,449
10303107419,395
10303107420,615
10303107421,530
10303107422,479
10303107423,347
10303107425,480
10303107426,288
10303107427,505
10303107501,0
10304107601,289
10304107602,230
10304107603,521
10304107604,365
10304107605,404
10304107606,503
10304107607,283
10304107608,409
10304107609,359
10304107610,369
10304107611,162
10304107612,254
10304107613,297
10304107614,535
10304107615,539
10304107616,470
10304107617,511
10304107618,232
10304107619,242
10304107620,262
10304107621,286
10304107701,339
10304107702,525
10304107703,331
10304107704,272
10304107705,149
10304107706,221
10304107707,438
10304107708,524
10304107709,334
10304107710,360
10304107711,484
10304107712,231
10304107713,538
10304107714,331
10304107715,401
10304107716,535
10304107717,391
10304107718,427
10304107719,366
10304107720,463
10304107721,323
10304107722,234
10304107723,481
10304107724,255
10304107725,241
10304107726,447
10304107727,357
10304107728,374
10304107729,377
10304107730,390
10304107731,511
10304107732,208
10304107733,409
10304107734,236
10304107735,0
10304107736,106
10304107737,235
10304107738,244
10304107739,189
10304107740,632
